Date,PADATA.Death,PADATA.DeathConfirmed
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,1,0
2020-3-19,1,0
2020-3-20,1,0
2020-3-21,2,0
2020-3-22,2,0
2020-3-23,6,0
2020-3-24,7,0
2020-3-25,11,0
2020-3-26,16,0
2020-3-27,22,0
2020-3-28,34,0
2020-3-29,38,0
2020-3-30,49,0
2020-3-31,63,0
2020-4-1,74,0
2020-4-2,90,0
2020-4-3,102,0
2020-4-4,136,0
2020-4-5,150,0
2020-4-6,162,0
2020-4-7,240,0
2020-4-8,309,0
2020-4-9,338,0
2020-4-10,416,0
2020-4-11,494,0
2020-4-12,507,0
2020-4-13,524,0
2020-4-14,584,0
2020-4-15,647,0
2020-4-16,707,0
2020-4-17,756,0
2020-4-18,836,0
2020-4-19,1112,0
2020-4-20,1204,0
2020-4-21,1564,0
2020-4-22,1622,0
2020-4-23,1421,0
2020-4-24,1492,0
2020-4-25,1537,0
2020-4-26,1550,0
2020-4-27,1597,0
2020-4-28,1716,0
2020-4-29,2195,0
2020-4-30,2292,0
2020-5-1,2354,0
2020-5-2,2418,0
2020-5-3,2444,0
2020-5-4,2458,0
2020-5-5,3012,0
2020-5-6,3106,0
2020-5-7,3416,0
2020-5-8,3616,0
2020-5-9,3688,0
2020-5-10,3707,0
2020-5-11,3731,0
2020-5-12,3806,0
2020-5-13,3943,0
2020-5-14,4218,0
2020-5-15,4342,0
2020-5-16,4403,0
2020-5-17,4418,0
2020-5-18,4505,0
2020-5-19,4624,0
2020-5-20,4624,0
2020-5-21,4869,0
2020-5-22,4984,0
2020-5-23,5096,0
2020-5-24,5124,0
2020-5-25,5139,0
2020-5-26,5152,0
2020-5-27,5265,0
2020-5-28,5373,0
2020-5-29,5464,0
2020-5-30,5537,0
2020-5-31,5555,0
2020-6-1,5567,0
2020-6-2,5667,0
2020-6-3,5741,0
2020-6-4,5817,0
2020-6-5,5886,0
2020-6-6,5931,0
2020-6-7,5943,0
2020-6-8,5953,0
2020-6-9,6014,0
2020-6-10,6062,0
2020-6-11,6113,0
2020-6-12,6162,0
2020-6-13,6211,0
2020-6-14,6215,0
2020-6-15,6243,0
2020-6-16,6276,0
2020-6-17,6319,0
2020-6-18,6361,0
2020-6-19,6399,0
2020-6-20,6419,0
2020-6-21,6423,0
2020-6-22,6426,0
2020-6-23,6464,0
2020-6-24,6518,0
2020-6-25,6557,0
2020-6-26,6579,0
2020-6-27,6579,0
2020-6-28,6579,0
2020-6-29,6614,0
2020-6-30,6649,0
2020-7-1,6649,0
2020-7-2,6712,0
2020-7-3,6746,0
2020-7-4,6749,0
2020-7-5,6753,0
2020-7-6,6754,0
2020-7-7,6787,0
2020-7-8,6812,0
2020-7-9,6848,0
2020-7-10,6880,0
2020-7-11,6897,0
2020-7-12,6904,0
2020-7-13,6911,0
2020-7-14,6931,0
2020-7-15,6957,0
2020-7-16,6973,0
2020-7-17,6992,0
2020-7-18,7007,0
2020-7-19,7015,0
2020-7-20,7018,0
2020-7-21,7038,0
2020-7-22,7063,0
2020-7-23,7079,0
2020-7-24,7101,0
2020-7-25,7114,0
2020-7-26,7118,0
2020-7-27,7122,0
2020-7-28,7146,0
2020-7-29,7162,0
2020-7-30,7176,0
2020-7-31,7189,0
2020-8-1,7204,0
2020-8-2,7209,0
2020-8-3,7209,0
2020-8-4,7232,0
2020-8-5,7244,0
2020-8-6,7282,0
2020-8-7,7297,0
2020-8-8,7313,0
2020-8-9,7314,0
2020-8-10,7317,0
2020-8-11,7352,0
2020-8-12,7385,0
2020-8-13,7409,0
2020-8-14,7445,0
2020-8-15,7465,0
2020-8-16,7468,0
2020-8-17,7468,0
2020-8-18,7499,0
2020-8-19,7523,0
2020-8-20,7538,0
2020-8-21,7558,0
2020-8-22,7576,0
2020-8-23,7578,0
2020-8-24,7579,0
2020-8-25,7605,0
2020-8-26,7624,0
2020-8-27,7635,0
2020-8-28,7655,0
2020-8-29,7671,0
2020-8-30,7673,0
2020-8-31,7673,0
2020-9-1,7691,0
2020-9-2,7712,0
2020-9-3,7732,0
2020-9-4,7742,0
2020-9-5,7760,0
2020-9-6,7760,0
2020-9-7,7780,0
2020-9-8,7791,0
2020-9-9,7805,0
2020-9-10,7820,0
2020-9-11,7837,0
2020-9-12,7837,0
2020-9-13,7837,0
2020-9-14,7869,0
2020-9-15,7875,0
2020-9-16,7903,0
2020-9-17,7913,0
2020-9-18,7934,0
2020-9-19,7956,0
2020-9-20,7981,0
2020-9-21,8004,0
2020-9-22,8023,0
2020-9-23,8062,0
2020-9-24,8079,0
2020-9-25,8081,0
2020-9-26,8103,0
2020-9-27,8106,0
2020-9-28,8107,0
2020-9-29,8123,0
2020-9-30,8142,0
2020-10-1,8160,0
2020-10-2,8179,0
2020-10-3,8199,0
2020-10-4,8216,0
2020-10-5,8227,0
2020-10-6,8244,0
2020-10-7,8272,0
2020-10-8,8299,0
2020-10-9,8308,0
2020-10-10,8344,0
2020-10-11,8350,0
2020-10-12,8368,0
2020-10-13,8384,0
2020-10-14,8411,0
2020-10-15,8432,0
2020-10-16,8457,0
2020-10-17,8466,0
2020-10-18,8492,0
2020-10-19,8500,0
2020-10-20,8533,0
2020-10-21,8562,0
2020-10-22,8592,0
2020-10-23,8625,0
2020-10-24,8654,0
2020-10-25,8666,0
2020-10-26,8673,0
2020-10-27,8696,0
2020-10-28,8718,0
2020-10-29,8762,0
2020-10-30,8784,0
2020-10-31,8812,0
2020-11-1,8817,0
2020-11-2,8823,0
2020-11-3,8855,0
2020-11-4,8890,0
2020-11-5,8937,0
2020-11-6,8975,0
2020-11-7,9015,0
2020-11-8,9020,0
2020-11-9,9024,0
2020-11-10,9086,0
2020-11-11,9145,0
2020-11-12,9194,0
2020-11-13,9224,0
2020-11-14,9274,0
2020-11-15,9312,0
2020-11-16,9325,0
2020-11-17,9355,0
2020-11-18,9465,0
2020-11-19,9581,0
2020-11-20,9689,0
2020-11-21,9801,0
2020-11-22,9842,0
2020-11-23,9870,0
2020-11-24,9951,0
2020-11-25,10095,0
2020-11-26,10213,0
2020-11-27,10234,0
2020-11-28,10275,0
2020-11-29,10351,0
2020-11-30,10383,0
2020-12-1,10563,0
2020-12-2,10757,0
2020-12-3,10944,0
2020-12-4,11113,0
2020-12-5,11262,0
2020-12-6,11331,0
2020-12-7,11373,0
2020-12-8,11542,0
2020-12-9,11762,0
2020-12-10,12010,0
2020-12-11,12235,0
2020-12-12,12436,0
2020-12-13,12565,0
2020-12-14,12620,0
2020-12-15,12890,0
2020-12-16,13168,0
2020-12-17,13392,0
2020-12-18,13608,0
2020-12-19,13825,0
2020-12-20,13924,0
2020-12-21,13981,0
2020-12-22,14212,0
2020-12-23,14442,0
2020-12-24,14718,0
2020-12-25,14857,0
2020-12-26,14883,0
2020-12-27,15010,0
2020-12-28,15086,0
2020-12-29,15353,0
2020-12-30,15672,0
2020-12-31,15978,0
2021-1-1,16214,0
2021-1-2,16239,0
2021-1-3,16295,0
2021-1-4,16361,0
2021-1-5,16546,0
2021-1-6,16914,0
2021-1-7,17179,0
2021-1-8,17394,0
2021-1-9,17667,0
2021-1-10,17770,0
2021-1-11,17853,0
2021-1-12,18080,0
2021-1-13,18429,0
2021-1-14,18742,0
2021-1-15,18957,0
2021-1-16,19188,0
2021-1-17,19310,0
2021-1-18,19390,0
2021-1-19,19467,0
2021-1-20,19868,0
2021-1-21,20128,0
2021-1-22,20321,0
2021-1-23,20526,0
2021-1-24,20609,0
2021-1-25,20664,0
2021-1-26,20883,0
2021-1-27,21105,0
2021-1-28,21303,0
2021-1-29,21462,0
2021-1-30,21602,0
2021-1-31,21661,0
2021-2-1,21687,0
2021-2-2,21812,0
2021-2-3,21955,0
2021-2-4,22101,0
2021-2-5,22239,0
2021-2-6,22396,0
2021-2-7,22467,0
2021-2-8,22471,0
2021-2-9,22620,0
2021-2-10,22745,0
2021-2-11,22860,0
2021-2-12,22959,0
