Date,RIDATA.Death,RIDATA.DeathConfirmed
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,3,0
2020-3-30,4,0
2020-3-31,8,0
2020-4-1,10,0
2020-4-2,12,0
2020-4-3,14,0
2020-4-4,17,0
2020-4-5,25,0
2020-4-6,27,0
2020-4-7,30,0
2020-4-8,35,0
2020-4-9,43,0
2020-4-10,49,0
2020-4-11,56,0
2020-4-12,63,0
2020-4-13,73,0
2020-4-14,80,0
2020-4-15,87,0
2020-4-16,105,0
2020-4-17,118,0
2020-4-18,150,0
2020-4-19,164,0
2020-4-20,175,0
2020-4-21,186,0
2020-4-22,201,0
2020-4-23,213,0
2020-4-24,202,0
2020-4-25,215,0
2020-4-26,226,0
2020-4-27,233,0
2020-4-28,239,0
2020-4-29,251,0
2020-4-30,266,0
2020-5-1,279,0
2020-5-2,296,0
2020-5-3,320,0
2020-5-4,341,0
2020-5-5,355,0
2020-5-6,370,0
2020-5-7,388,0
2020-5-8,399,0
2020-5-9,418,0
2020-5-10,422,0
2020-5-11,430,0
2020-5-12,444,0
2020-5-13,462,0
2020-5-14,468,0
2020-5-15,479,0
2020-5-16,489,0
2020-5-17,499,0
2020-5-18,506,0
2020-5-19,532,0
2020-5-20,538,0
2020-5-21,556,0
2020-5-22,579,0
2020-5-23,597,0
2020-5-24,608,0
2020-5-25,608,0
2020-5-26,634,0
2020-5-27,655,0
2020-5-28,677,0
2020-5-29,693,0
2020-5-30,711,0
2020-5-31,718,0
2020-6-1,720,0
2020-6-2,732,0
2020-6-3,742,0
2020-6-4,756,0
2020-6-5,772,0
2020-6-6,772,0
2020-6-7,772,0
2020-6-8,799,0
2020-6-9,808,0
2020-6-10,812,0
2020-6-11,823,0
2020-6-12,833,0
2020-6-13,833,0
2020-6-14,833,0
2020-6-15,851,0
2020-6-16,865,0
2020-6-17,876,0
2020-6-18,885,0
2020-6-19,894,0
2020-6-20,894,0
2020-6-21,894,0
2020-6-22,903,0
2020-6-23,906,0
2020-6-24,912,0
2020-6-25,920,0
2020-6-26,927,0
2020-6-27,927,0
2020-6-28,927,0
2020-6-29,946,0
2020-6-30,950,0
2020-7-1,956,0
2020-7-2,959,0
2020-7-3,960,0
2020-7-4,960,0
2020-7-5,960,0
2020-7-6,960,0
2020-7-7,969,0
2020-7-8,971,0
2020-7-9,974,0
2020-7-10,976,0
2020-7-11,976,0
2020-7-12,976,0
2020-7-13,984,0
2020-7-14,985,0
2020-7-15,987,0
2020-7-16,988,0
2020-7-17,990,0
2020-7-18,990,0
2020-7-19,990,0
2020-7-20,995,0
2020-7-21,996,0
2020-7-22,997,0
2020-7-23,1001,0
2020-7-24,1002,0
2020-7-25,1002,0
2020-7-26,1002,0
2020-7-27,1004,0
2020-7-28,1005,0
2020-7-29,1007,0
2020-7-30,1007,0
2020-7-31,1007,0
2020-8-1,1007,0
2020-8-2,1007,0
2020-8-3,1010,0
2020-8-4,1011,0
2020-8-5,1012,0
2020-8-6,1014,0
2020-8-7,1014,0
2020-8-8,1015,0
2020-8-9,1015,0
2020-8-10,1015,0
2020-8-11,1016,0
2020-8-12,1018,0
2020-8-13,1019,0
2020-8-14,1021,0
2020-8-15,1022,0
2020-8-16,1022,0
2020-8-17,1023,0
2020-8-18,1024,0
2020-8-19,1027,0
2020-8-20,1028,0
2020-8-21,1030,0
2020-8-22,1035,0
2020-8-23,1035,0
2020-8-24,1035,0
2020-8-25,1039,0
2020-8-26,1041,0
2020-8-27,1044,0
2020-8-28,1046,0
2020-8-29,1047,0
2020-8-30,1047,0
2020-8-31,1048,0
2020-9-1,1050,0
2020-9-2,1051,0
2020-9-3,1055,0
2020-9-4,1055,0
2020-9-5,1058,0
2020-9-6,1058,0
2020-9-7,1059,0
2020-9-8,1059,0
2020-9-9,1062,0
