Date,IADATA.Death,IADATA.DeathConfirmed
2020-12-9,3021,0
2020-12-10,3120,0
2020-12-11,3197,0
2020-12-12,3212,0
2020-12-13,3213,0
2020-12-14,3273,0
2020-12-15,3340,0
2020-12-16,3354,0
2020-12-17,3451,0
2020-12-18,3451,0
2020-12-19,3533,0
2020-12-20,3589,0
2020-12-21,3589,0
2020-12-22,3653,0
2020-12-23,3668,0
2020-12-24,3739,0
2020-12-25,3744,0
2020-12-26,3744,0
2020-12-27,3745,0
2020-12-28,3745,0
2020-12-29,3812,0
2020-12-30,3822,0
2020-12-31,3891,0
2021-1-1,3898,0
2021-1-2,3946,0
2021-1-3,3946,0
2021-1-4,3992,0
2021-1-5,3999,0
2021-1-6,4060,0
2021-1-7,4065,0
2021-1-8,4124,0
2021-1-9,4127,0
2021-1-10,4138,0
2021-1-11,4139,0
2021-1-12,4222,0
2021-1-13,4232,0
2021-1-14,4251,0
2021-1-15,4257,0
2021-1-16,4321,0
2021-1-17,4323,0
2021-1-18,4324,0
2021-1-19,4332,0
2021-1-20,4394,0
2021-1-21,4445,0
2021-1-22,4478,0
2021-1-23,4487,0
2021-1-24,4488,0
2021-1-25,4488,0
2021-1-26,4492,0
2021-1-27,4500,0
2021-1-28,4532,0
2021-1-29,4577,0
2021-1-30,4651,0
2021-1-31,4901,0
2021-2-1,4906,0
2021-2-2,4919,0
2021-2-3,4975,0
2021-2-4,5033,0
2021-2-5,5067,0
2021-2-6,5108,0
2021-2-7,5108,0
2021-2-8,5110,0
2021-2-9,5145,0
2021-2-10,5174,0
2021-2-11,5196,0
2021-2-12,5223,0
