Date,NVDATA.Death,NVDATA.DeathConfirmed
2020-12-7,2319,0
2020-12-8,2359,0
2020-12-9,2384,0
2020-12-10,2434,0
2020-12-11,2479,0
2020-12-12,2520,0
2020-12-13,2539,0
2020-12-14,2548,0
2020-12-15,2596,0
2020-12-16,2653,0
2020-12-17,2673,0
2020-12-18,2708,0
2020-12-19,2751,0
2020-12-20,2781,0
2020-12-21,2787,0
2020-12-22,2825,0
2020-12-23,2871,0
2020-12-24,2916,0
2020-12-25,2943,0
2020-12-26,2944,0
2020-12-27,2952,0
2020-12-28,2973,0
2020-12-29,3019,0
2020-12-30,3066,0
2020-12-31,3125,0
2021-1-1,3146,0
2021-1-2,3151,0
2021-1-3,3183,0
2021-1-4,3206,0
2021-1-5,3235,0
2021-1-6,3295,0
2021-1-7,3339,0
2021-1-8,3394,0
2021-1-9,3450,0
2021-1-10,3467,0
2021-1-11,3500,0
2021-1-12,3546,0
2021-1-13,3596,0
2021-1-14,3658,0
2021-1-15,3698,0
2021-1-16,3761,0
2021-1-17,3779,0
2021-1-18,3784,0
2021-1-19,3792,0
2021-1-20,3863,0
2021-1-21,3910,0
2021-1-22,3958,0
2021-1-23,4011,0
2021-1-24,4026,0
2021-1-25,4029,0
2021-1-26,4088,0
2021-1-27,4134,0
2021-1-28,4181,0
2021-1-29,4218,0
2021-1-30,4264,0
2021-1-31,4270,0
2021-2-1,4278,0
2021-2-2,4324,0
2021-2-3,4373,0
2021-2-4,4424,0
2021-2-5,4463,0
2021-2-6,4496,0
2021-2-7,4520,0
2021-2-8,4522,0
2021-2-9,4559,0
2021-2-10,4582,0
2021-2-11,4637,0
2021-2-12,4663,0
