Date,ILDATA.Death,ILDATA.DeathConfirmed
2020-11-11,10798,10434
2020-11-12,10846,10477
2020-11-13,10891,10504
2020-11-14,11088,10670
2020-11-15,11162,10742
2020-11-16,11204,10779
2020-11-17,11317,10875
2020-11-18,11468,11014
2020-11-19,11648,11178
2020-11-20,11795,11304
2020-11-21,11952,11430
2020-11-22,12051,11506
2020-11-23,12112,11552
2020-11-24,12262,11677
2020-11-25,12440,11832
2020-11-26,12596,11963
2020-11-27,12686,12029
2020-11-28,12838,12137
2020-11-29,12882,12193
2020-11-30,12985,12278
2020-12-1,13131,12403
2020-12-2,13397,12639
2020-12-3,13625,12830
2020-12-4,13782,12974
2020-12-5,14017,13179
2020-12-6,14116,13255
2020-12-7,14216,13343
2020-12-8,14384,13487
2020-12-9,14613,13666
2020-12-10,14845,13861
2020-12-11,15067,14050
2020-12-12,15232,14176
2020-12-13,15339,14291
2020-12-14,15455,14394
2020-12-15,15587,14509
2020-12-16,15777,14655
2020-12-17,15985,14835
2020-12-18,16206,15015
2020-12-19,16326,15123
2020-12-20,16407,15202
2020-12-21,16527,15299
2020-12-22,16671,15414
2020-12-23,16842,15547
2020-12-24,16960,15643
2020-12-25,17154,15799
2020-12-26,17224,15865
2020-12-27,17336,15969
2020-12-28,17470,16074
2020-12-29,17596,16179
2020-12-30,17811,16357
2020-12-31,17978,16490
2021-1-1,18173,16647
2021-1-2,18217,16674
2021-1-3,18322,16755
2021-1-4,18412,16834
2021-1-5,18562,16959
2021-1-6,18735,17096
2021-1-7,18941,17272
2021-1-8,19108,17395
2021-1-9,19210,17494
2021-1-10,19293,17574
2021-1-11,19363,17627
2021-1-12,19497,17743
2021-1-13,19617,17840
2021-1-14,19724,17928
2021-1-15,19873,18049
2021-1-16,20020,18179
2021-1-17,20050,18208
2021-1-18,20118,18258
2021-1-19,20153,18291
2021-1-20,20285,18398
2021-1-21,20423,18520
2021-1-22,20534,18615
2021-1-23,20645,18711
2021-1-24,20680,18750
2021-1-25,20744,18798
2021-1-26,20853,18883
2021-1-27,20949,18964
2021-1-28,21074,19067
2021-1-29,21146,19138
2021-1-30,21213,19203
2021-1-31,21253,19243
2021-2-1,21273,19259
2021-2-2,21336,19306
2021-2-3,21420,19375
2021-2-4,21497,19444
2021-2-5,21603,19526
2021-2-6,21676,19585
2021-2-7,21738,19633
2021-2-8,21779,19668
2021-2-9,21802,19686
2021-2-10,21869,19739
2021-2-11,21985,19841
2021-2-12,22027,19873
