Date,HIDATA.Death,HIDATA.DeathConfirmed
2020-12-17,280,280
2020-12-18,281,281
2020-12-19,281,281
2020-12-20,282,282
2020-12-21,282,282
2020-12-22,282,282
2020-12-23,285,285
2020-12-24,285,285
2020-12-25,285,285
2020-12-26,285,285
2020-12-27,285,285
2020-12-28,285,285
2020-12-29,285,285
2020-12-30,285,285
2020-12-31,288,288
2021-1-1,289,289
2021-1-2,289,289
2021-1-3,289,289
2021-1-4,289,289
2021-1-5,289,289
2021-1-6,299,299
2021-1-7,299,299
2021-1-8,303,303
2021-1-9,307,307
2021-1-10,309,309
2021-1-11,309,309
2021-1-12,309,309
2021-1-13,312,312
2021-1-14,318,318
2021-1-15,318,318
2021-1-16,320,320
2021-1-17,322,322
2021-1-18,322,322
2021-1-19,324,324
2021-1-20,325,325
2021-1-21,328,328
2021-1-22,332,332
2021-1-23,336,336
2021-1-24,342,342
2021-1-25,342,342
2021-1-26,401,401
2021-1-27,404,404
2021-1-28,406,406
2021-1-29,407,407
2021-1-30,407,407
2021-1-31,410,410
2021-2-1,410,410
2021-2-2,410,410
2021-2-3,414,414
2021-2-4,416,416
2021-2-5,416,416
2021-2-6,416,416
2021-2-7,418,418
2021-2-8,418,418
2021-2-9,418,418
2021-2-10,423,423
2021-2-11,424,424
2021-2-12,425,425
