Date,WYDATA.Death,WYDATA.DeathConfirmed
2020-12-14,321,0
2020-12-15,328,0
2020-12-16,328,0
2020-12-17,351,0
2020-12-18,351,0
2020-12-19,351,0
2020-12-20,351,0
2020-12-21,351,0
2020-12-22,373,0
2020-12-23,373,0
2020-12-24,373,0
2020-12-25,373,0
2020-12-26,373,0
2020-12-27,373,0
2020-12-28,405,0
2020-12-29,405,0
2020-12-30,405,0
2020-12-31,438,0
2021-1-1,438,0
2021-1-2,438,0
2021-1-3,438,0
2021-1-4,438,0
2021-1-5,464,0
2021-1-6,464,0
2021-1-7,489,0
2021-1-8,489,0
2021-1-9,489,0
2021-1-10,489,0
2021-1-11,489,0
2021-1-12,522,0
2021-1-13,522,0
2021-1-14,522,0
2021-1-15,522,0
2021-1-16,522,0
2021-1-17,522,0
2021-1-18,522,0
2021-1-19,550,0
2021-1-20,550,0
2021-1-21,550,0
2021-1-22,571,0
2021-1-23,571,0
2021-1-24,571,0
2021-1-25,571,0
2021-1-26,596,0
2021-1-27,596,0
2021-1-28,596,0
2021-1-29,596,0
2021-1-30,596,0
2021-1-31,596,0
2021-2-1,596,0
2021-2-2,624,0
2021-2-3,624,0
2021-2-4,624,0
2021-2-5,624,0
2021-2-6,624,0
2021-2-7,624,0
2021-2-8,624,0
2021-2-9,647,0
2021-2-10,647,0
2021-2-11,647,0
2021-2-12,647,0
