Date,MSDATA.Death,MSDATA.DeathConfirmed
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,1,0
2020-3-21,1,0
2020-3-22,1,0
2020-3-23,1,0
2020-3-24,1,0
2020-3-25,2,0
2020-3-26,6,0
2020-3-27,8,0
2020-3-28,13,0
2020-3-29,14,0
2020-3-30,16,0
2020-3-31,20,0
2020-4-1,22,0
2020-4-2,26,0
2020-4-3,29,0
2020-4-4,35,0
2020-4-5,43,0
2020-4-6,51,0
2020-4-7,59,0
2020-4-8,67,0
2020-4-9,76,0
2020-4-10,82,0
2020-4-11,93,0
2020-4-12,96,0
2020-4-13,98,0
2020-4-14,111,0
2020-4-15,122,0
2020-4-16,129,0
2020-4-17,140,0
2020-4-18,152,0
2020-4-19,159,0
2020-4-20,169,0
2020-4-21,183,0
2020-4-22,193,0
2020-4-23,201,0
2020-4-24,209,0
2020-4-25,221,0
2020-4-26,227,0
2020-4-27,229,0
2020-4-28,239,0
2020-4-29,250,0
2020-4-30,261,0
2020-5-1,281,0
2020-5-2,291,0
2020-5-3,303,0
2020-5-4,310,0
2020-5-5,342,0
2020-5-6,374,0
2020-5-7,396,0
2020-5-8,409,0
2020-5-9,421,0
2020-5-10,430,0
2020-5-11,435,0
2020-5-12,457,0
2020-5-13,465,0
2020-5-14,480,0
2020-5-15,493,0
2020-5-16,510,0
2020-5-17,521,0
2020-5-18,528,0
2020-5-19,554,0
2020-5-20,570,0
2020-5-21,580,0
2020-5-22,596,0
2020-5-23,616,0
2020-5-24,625,0
2020-5-25,635,0
2020-5-26,652,0
2020-5-27,670,0
2020-5-28,693,0
2020-5-29,710,0
2020-5-30,723,0
2020-5-31,734,0
2020-6-1,739,0
2020-6-2,767,752
2020-6-3,782,767
2020-6-4,794,778
2020-6-5,803,787
2020-6-6,803,787
2020-6-7,817,801
2020-6-8,837,821
2020-6-9,837,821
2020-6-10,868,851
2020-6-11,868,851
2020-6-12,881,856
2020-6-13,889,873
2020-6-14,891,873
2020-6-15,895,879
2020-6-16,915,899
2020-6-17,938,922
2020-6-18,938,922
2020-6-19,938,922
2020-6-20,938,922
2020-6-21,938,922
2020-6-22,978,961
2020-6-23,989,972
2020-6-24,1011,994
2020-6-25,1016,999
2020-6-26,1022,1005
2020-6-27,1035,1018
2020-6-28,1039,1022
2020-6-29,1059,1042
2020-6-30,1073,1056
2020-7-1,1082,1064
2020-7-2,1092,1074
2020-7-3,1092,1074
2020-7-4,1107,1089
2020-7-5,1111,1093
2020-7-6,1114,1096
2020-7-7,1158,1139
2020-7-8,1188,1168
2020-7-9,1204,1184
2020-7-10,1215,1195
2020-7-11,1230,1208
2020-7-12,1249,1227
2020-7-13,1250,1228
2020-7-14,1272,1249
2020-7-15,1290,1266
2020-7-16,1308,1283
2020-7-17,1332,1303
2020-7-18,1346,1316
2020-7-19,1355,1324
2020-7-20,1358,1327
2020-7-21,1389,1358
2020-7-22,1423,1390
2020-7-23,1436,1401
2020-7-24,1463,1428
2020-7-25,1480,1443
2020-7-26,1495,1458
2020-7-27,1501,1464
2020-7-28,1543,1504
2020-7-29,1563,1524
2020-7-30,1611,1570
2020-7-31,1663,1620
2020-8-1,1693,1648
2020-8-2,1703,1657
2020-8-3,1711,1664
2020-8-4,1753,1705
2020-8-5,1804,1754
2020-8-6,1825,1772
2020-8-7,1848,1793
2020-8-8,1874,1812
2020-8-9,1896,1832
2020-8-10,1912,1847
2020-8-11,1944,1879
2020-8-12,1989,1922
2020-8-13,2011,1942
2020-8-14,2043,1965
2020-8-15,2080,2000
2020-8-16,2084,2004
2020-8-17,2095,2015
2020-8-18,2128,2046
2020-8-19,2163,2077
2020-8-20,2190,2100
2020-8-21,2214,2119
2020-8-22,2237,2136
2020-8-23,2240,2139
2020-8-24,2248,2147
2020-8-25,2315,2201
2020-8-26,2373,2234
2020-8-27,2399,2256
2020-8-28,2413,2269
2020-8-29,2427,2281
2020-8-30,2441,2294
2020-8-31,2473,2319
2020-9-1,2493,2337
2020-9-2,2526,2364
2020-9-3,2536,2373
2020-9-4,2558,2394
2020-9-5,2569,2401
2020-9-6,2584,2416
2020-9-7,2585,2417
2020-9-8,2585,2417
2020-9-9,2623,2447
2020-9-10,2656,2477
2020-9-11,2670,2489
2020-9-12,2685,2502
2020-9-13,2697,2514
2020-9-14,2706,2523
2020-9-15,2734,2543
2020-9-16,2756,2562
2020-9-17,2780,2572
2020-9-18,2780,2572
2020-9-19,2809,2593
2020-9-20,2810,2591
2020-9-21,2810,2591
2020-9-22,2846,2625
2020-9-23,2870,2647
2020-9-24,2874,2651
2020-9-25,2894,2671
2020-9-26,2911,2686
2020-9-27,2919,2693
2020-9-28,2921,2695
2020-9-29,2957,2722
2020-9-30,2969,2729
2020-10-1,2979,2738
2020-10-2,2999,2753
2020-10-3,3011,2763
2020-10-4,3013,2765
2020-10-5,3013,2765
2020-10-6,3013,2765
2020-10-7,3051,2794
2020-10-8,3074,2807
2020-10-9,3080,2812
2020-10-10,3096,2825
2020-10-11,3101,2829
2020-10-12,3101,2829
2020-10-13,3115,2839
2020-10-14,3140,2855
2020-10-15,3152,2864
2020-10-16,3160,2869
2020-10-17,3171,2879
2020-10-18,3171,2879
2020-10-19,3171,2879
2020-10-20,3202,2903
2020-10-21,3223,2919
2020-10-22,3231,2926
2020-10-23,3238,2932
2020-10-24,3255,2944
2020-10-25,3255,2944
2020-10-26,3263,2951
2020-10-27,3283,2964
2020-10-28,3302,2979
2020-10-29,3310,2985
2020-10-30,3328,2998
2020-10-31,3334,3002
2020-11-1,3348,3010
2020-11-2,3348,3010
2020-11-3,3384,3036
2020-11-4,3397,3045
2020-11-5,3405,3053
2020-11-6,3419,3063
2020-11-7,3433,3070
2020-11-8,3443,3072
2020-11-9,3443,3072
2020-11-10,3480,3095
2020-11-11,3497,3108
2020-11-12,3514,3118
2020-11-13,3519,3122
2020-11-14,3540,3134
2020-11-15,3543,3137
2020-11-16,3545,3138
2020-11-17,3581,3168
2020-11-18,3601,3180
2020-11-19,3619,3195
2020-11-20,3642,3215
2020-11-21,3657,3224
2020-11-22,3676,3233
2020-11-23,3676,3233
2020-11-24,3729,3269
2020-11-25,3745,3273
2020-11-26,3763,3287
2020-11-27,3769,3292
2020-11-28,3779,3297
2020-11-29,3806,3313
2020-11-30,3807,3313
2020-12-1,3836,3334
2020-12-2,3851,3346
2020-12-3,3879,3361
2020-12-4,3916,3379
2020-12-5,3949,3395
2020-12-6,3961,3403
2020-12-7,3961,3403
2020-12-8,4017,3442
2020-12-9,4041,3452
2020-12-10,4083,3470
2020-12-11,4124,3493
2020-12-12,4180,3519
2020-12-13,4199,3524
2020-12-14,4204,3526
2020-12-15,4252,3555
2020-12-16,4294,3581
2020-12-17,4320,3594
2020-12-18,4354,3615
2020-12-19,4390,3633
2020-12-20,4409,3645
2020-12-21,4411,3646
2020-12-22,4490,3683
2020-12-23,4533,3702
2020-12-24,4556,3715
2020-12-25,4562,3717
2020-12-26,4565,3718
2020-12-27,4606,3738
2020-12-28,4634,3746
2020-12-29,4719,3790
2020-12-30,4747,3804
2020-12-31,4787,3825
2021-1-1,4816,3834
2021-1-2,4840,3840
2021-1-3,4871,3857
2021-1-4,4884,3859
2021-1-5,4975,3902
2021-1-6,5013,3920
2021-1-7,5061,3938
2021-1-8,5101,3955
2021-1-9,5146,3978
2021-1-10,5167,3988
2021-1-11,5186,3988
2021-1-12,5284,4047
2021-1-13,5315,4066
2021-1-14,5356,4066
2021-1-15,5411,4113
2021-1-16,5481,4147
2021-1-17,5521,4162
2021-1-18,5524,4163
2021-1-19,5574,4182
2021-1-20,5638,4204
2021-1-21,5668,4218
2021-1-22,5713,4241
2021-1-23,5752,4257
2021-1-24,5772,4268
2021-1-25,5777,4271
2021-1-26,5852,4309
2021-1-27,5917,4331
2021-1-28,5945,4342
2021-1-29,5983,4356
