Date,ORDATA.Death,ORDATA.DeathConfirmed
2020-6-2,154,0
2020-6-3,157,0
2020-6-4,159,0
2020-6-5,159,0
2020-6-6,161,0
2020-6-7,163,0
2020-6-8,164,0
2020-6-9,164,0
2020-6-10,169,0
2020-6-11,169,0
2020-6-12,171,0
2020-6-13,173,0
2020-6-14,174,0
2020-6-15,176,0
2020-6-16,180,0
2020-6-17,182,0
2020-6-18,183,0
2020-6-19,187,0
2020-6-20,188,0
2020-6-21,189,0
2020-6-22,190,0
2020-6-23,192,0
2020-6-24,192,0
2020-6-25,195,0
2020-6-26,197,0
2020-6-27,202,0
2020-6-28,202,0
2020-6-29,202,0
2020-6-30,204,0
2020-7-1,207,0
2020-7-2,208,0
2020-7-3,209,0
2020-7-4,209,0
2020-7-5,213,0
2020-7-6,215,0
2020-7-7,215,0
2020-7-8,220,0
2020-7-9,224,0
2020-7-10,230,0
2020-7-11,232,0
2020-7-12,232,0
2020-7-13,234,0
2020-7-14,237,0
2020-7-15,244,0
2020-7-16,247,0
2020-7-17,249,0
2020-7-18,254,0
2020-7-19,257,0
2020-7-20,260,0
2020-7-21,262,0
2020-7-22,269,0
2020-7-23,269,0
2020-7-24,273,0
2020-7-25,282,0
2020-7-26,286,0
2020-7-27,289,0
2020-7-28,289,0
2020-7-29,303,0
2020-7-30,311,0
2020-7-31,316,0
2020-8-1,322,0
2020-8-2,325,0
2020-8-3,326,0
2020-8-4,328,0
2020-8-5,333,0
2020-8-6,338,0
2020-8-7,339,0
2020-8-8,348,0
2020-8-9,355,0
2020-8-10,356,0
2020-8-11,357,0
2020-8-12,368,0
2020-8-13,375,0
2020-8-14,383,0
2020-8-15,385,0
2020-8-16,386,0
2020-8-17,388,0
2020-8-18,388,0
2020-8-19,397,0
2020-8-20,408,0
2020-8-21,412,0
2020-8-22,414,0
2020-8-23,417,0
2020-8-24,417,0
2020-8-25,420,0
2020-8-26,428,0
2020-8-27,433,0
2020-8-28,438,0
2020-8-29,447,0
2020-8-30,454,0
2020-8-31,458,0
2020-9-1,459,0
2020-9-2,465,0
2020-9-3,468,0
2020-9-4,470,0
2020-9-5,475,0
2020-9-6,480,0
2020-9-7,481,0
2020-9-8,482,0
2020-9-9,486,0
2020-9-10,494,0
2020-9-11,497,0
2020-9-12,499,0
2020-9-13,505,0
2020-9-14,509,0
2020-9-15,511,0
2020-9-16,519,0
2020-9-17,521,0
2020-9-18,521,0
2020-9-19,521,0
2020-9-20,525,0
2020-9-21,526,0
2020-9-22,529,0
2020-9-23,532,0
2020-9-24,538,0
2020-9-25,539,0
2020-9-26,542,0
2020-9-27,546,0
2020-9-28,547,0
2020-9-29,547,0
2020-9-30,555,0
2020-10-1,559,0
2020-10-2,560,0
2020-10-3,563,0
2020-10-4,571,0
2020-10-5,572,0
2020-10-6,572,0
2020-10-7,581,0
2020-10-8,583,0
2020-10-9,594,0
2020-10-10,597,0
2020-10-11,599,0
2020-10-12,599,0
2020-10-13,599,0
2020-10-14,605,0
2020-10-15,608,0
2020-10-16,611,0
2020-10-17,617,0
2020-10-18,620,0
2020-10-19,620,0
2020-10-20,628,0
2020-10-21,633,0
2020-10-22,635,0
2020-10-23,646,0
2020-10-24,649,0
2020-10-25,653,0
2020-10-26,653,0
2020-10-27,655,0
2020-10-28,664,0
2020-10-29,671,0
2020-10-30,673,0
2020-10-31,675,0
2020-11-1,689,0
2020-11-2,691,0
2020-11-3,692,0
2020-11-4,701,0
2020-11-5,705,0
2020-11-6,710,0
2020-11-7,716,0
2020-11-8,729,0
2020-11-9,730,0
2020-11-10,734,0
2020-11-11,737,0
2020-11-12,742,0
2020-11-13,746,0
2020-11-14,753,0
2020-11-15,759,0
2020-11-16,761,0
2020-11-17,765,0
2020-11-18,778,0
2020-11-19,788,0
2020-11-20,808,0
2020-11-21,812,0
2020-11-22,819,0
2020-11-23,820,0
2020-11-24,826,0
2020-11-25,847,0
2020-11-26,867,0
2020-11-27,882,0
2020-11-28,885,0
2020-11-29,896,0
2020-11-30,905,0
2020-12-1,912,0
2020-12-2,936,0
2020-12-3,953,0
2020-12-4,973,0
2020-12-5,1003,0
2020-12-6,1027,0
2020-12-7,1033,0
2020-12-8,1045,0
2020-12-9,1080,0
2020-12-10,1110,0
2020-12-11,1123,0
2020-12-12,1138,0
2020-12-13,1150,0
2020-12-14,1155,0
2020-12-15,1161,0
2020-12-16,1214,0
2020-12-17,1262,0
2020-12-18,1283,0
2020-12-19,1304,0
2020-12-20,1340,0
2020-12-21,1341,0
2020-12-22,1347,0
2020-12-23,1382,0
2020-12-24,1403,0
2020-12-25,1415,0
2020-12-26,1422,0
2020-12-27,1422,0
2020-12-28,1427,0
2020-12-29,1433,0
2020-12-30,1449,0
2020-12-31,1468,0
2021-1-1,1477,0
2021-1-2,1490,0
2021-1-3,1492,0
2021-1-4,1500,0
2021-1-5,1506,0
2021-1-6,1550,0
2021-1-7,1558,0
2021-1-8,1568,0
2021-1-9,1575,0
2021-1-10,1603,0
2021-1-11,1605,0
2021-1-12,1613,0
2021-1-13,1667,0
2021-1-14,1708,0
2021-1-15,1737,0
2021-1-16,1758,0
2021-1-17,1799,0
2021-1-18,1800,0
2021-1-19,1803,0
2021-1-20,1808,0
2021-1-21,1832,0
2021-1-22,1843,0
2021-1-23,1865,0
2021-1-24,1877,0
2021-1-25,1880,0
2021-1-26,1882,0
2021-1-27,1904,0
2021-1-28,1924,0
2021-1-29,1930,0
2021-1-30,1938,0
2021-1-31,1957,0
2021-2-1,1957,0
2021-2-2,1958,0
2021-2-3,1981,0
2021-2-4,1991,0
2021-2-5,1998,0
2021-2-6,2002,0
2021-2-7,2019,0
2021-2-8,2023,0
2021-2-9,2024,0
2021-2-10,2031,0
2021-2-11,2044,0
2021-2-12,2056,0
