Date,WVDATA.Death,WVDATA.DeathConfirmed
2020-12-19,1122,1022
2020-12-20,1128,1026
2020-12-21,1129,1028
2020-12-22,1171,1060
2020-12-23,1194,1079
2020-12-24,1228,1105
2020-12-25,1247,1123
2020-12-26,1253,1126
2020-12-27,1254,1127
2020-12-28,1263,1134
2020-12-29,1284,1148
2020-12-30,1318,1176
2020-12-31,1338,1192
2021-1-1,1361,1210
2021-1-2,1373,1218
2021-1-3,1376,1221
2021-1-4,1396,1237
2021-1-5,1442,1270
2021-1-6,1481,1298
2021-1-7,1518,1322
2021-1-8,1554,1346
2021-1-9,1570,1359
2021-1-10,1582,1369
2021-1-11,1594,1378
2021-1-12,1634,1411
2021-1-13,1671,1441
2021-1-14,1702,1464
2021-1-15,1733,1488
2021-1-16,1761,1512
2021-1-17,1776,1524
2021-1-18,1784,1530
2021-1-19,1815,1552
2021-1-20,1836,1568
2021-1-21,1849,1580
2021-1-22,1856,1589
2021-1-23,1872,1604
2021-1-24,1895,1620
2021-1-25,1899,1624
2021-1-26,1928,1644
2021-1-27,1953,1667
2021-1-28,1983,1690
2021-1-29,2006,1705
2021-1-30,2015,1721
2021-1-31,2024,1730
2021-2-1,2028,1735
2021-2-2,2031,1737
2021-2-3,2058,1762
2021-2-4,2080,1783
2021-2-5,2100,1797
2021-2-6,2119,1812
2021-2-7,2129,1820
2021-2-8,2131,1822
2021-2-9,2150,1835
2021-2-10,2175,1857
2021-2-11,2187,1863
2021-2-12,2200,1873
