Date,TNDATA.Death,TNDATA.DeathConfirmed
2020-11-26,4519,4144
2020-11-27,4526,4150
2020-11-28,4541,4163
2020-11-29,4554,4173
2020-11-30,4602,4206
2020-12-1,4638,4240
2020-12-2,4688,4282
2020-12-3,4781,4359
2020-12-4,4876,4439
2020-12-5,4905,4462
2020-12-6,4943,4491
2020-12-7,5009,4544
2020-12-8,5109,4636
2020-12-9,5171,4678
2020-12-10,5240,4722
2020-12-11,5327,4787
2020-12-12,5400,4849
2020-12-13,5462,4902
2020-12-14,5541,4964
2020-12-15,5615,5022
2020-12-16,5668,5059
2020-12-17,5845,5195
2020-12-18,5960,5287
2020-12-19,5960,5287
2020-12-20,6071,5378
2020-12-21,6136,5427
2020-12-22,6269,5529
2020-12-23,6380,5612
2020-12-24,6431,5646
2020-12-25,6431,5646
2020-12-26,6443,5657
2020-12-27,6512,5708
2020-12-28,6588,5766
2020-12-29,6710,5853
2020-12-30,6810,5923
2020-12-31,6907,5990
2021-1-1,6907,5990
2021-1-2,6970,6029
2021-1-3,7025,6070
2021-1-4,7168,6182
2021-1-5,7267,6241
2021-1-6,7381,6326
2021-1-7,7492,6405
2021-1-8,7618,6491
2021-1-9,7704,6545
2021-1-10,7785,6607
2021-1-11,7865,6659
2021-1-12,8011,6757
2021-1-13,8148,6856
2021-1-14,8232,6909
2021-1-15,8311,6970
2021-1-16,8355,6987
2021-1-17,8391,7020
2021-1-18,8430,7050
2021-1-19,8470,7082
2021-1-20,8556,7134
2021-1-21,8684,7221
2021-1-22,8777,7292
2021-1-23,8819,7322
2021-1-24,8859,7351
2021-1-25,8970,7431
2021-1-26,9162,7571
2021-1-27,9316,7667
2021-1-28,9417,7737
2021-1-29,9461,7768
2021-1-30,9574,7846
2021-1-31,9650,7902
2021-2-1,9753,7975
2021-2-2,9900,8068
2021-2-3,10033,8168
2021-2-4,10202,8279
2021-2-5,10405,8414
2021-2-6,10463,8457
2021-2-7,10469,8465
2021-2-8,10566,8536
2021-2-9,10631,8586
2021-2-10,10731,8652
2021-2-11,10812,8706
2021-2-12,10893,8761
