Date,DEDATA.Death,DEDATA.DeathConfirmed
2020-12-19,858,758
2020-12-20,862,762
2020-12-21,871,771
2020-12-22,872,772
2020-12-23,872,772
2020-12-24,888,788
2020-12-25,891,791
2020-12-26,895,795
2020-12-27,897,797
2020-12-28,898,798
2020-12-29,898,798
2020-12-30,921,819
2020-12-31,926,824
2021-1-1,930,828
2021-1-2,930,828
2021-1-3,930,828
2021-1-4,937,834
2021-1-5,947,844
2021-1-6,947,844
2021-1-7,949,846
2021-1-8,957,854
2021-1-9,969,866
2021-1-10,972,869
2021-1-11,986,881
2021-1-12,991,886
2021-1-13,994,889
2021-1-14,995,890
2021-1-15,1002,897
2021-1-16,1016,910
2021-1-17,1016,910
2021-1-18,1016,910
2021-1-19,1021,915
2021-1-20,1026,919
2021-1-21,1027,920
2021-1-22,1027,920
2021-1-23,1036,929
2021-1-24,1041,934
2021-1-25,1049,942
2021-1-26,1065,958
2021-1-27,1072,965
2021-1-28,1075,968
2021-1-29,1078,971
2021-1-30,1081,974
2021-1-31,1090,982
2021-2-1,1101,991
2021-2-2,1108,997
2021-2-3,1130,1017
2021-2-4,1135,1022
2021-2-5,1191,1076
2021-2-6,1202,1087
2021-2-7,1208,1091
2021-2-8,1208,1091
2021-2-9,1221,1104
2021-2-10,1245,1127
2021-2-11,1262,1141
2021-2-12,1269,1148
