Date,KSDATA.Death,KSDATA.DeathConfirmed
2020-11-11,1215,0
2020-11-12,1215,0
2020-11-13,1256,0
2020-11-14,1256,0
2020-11-15,1256,0
2020-11-16,1266,0
2020-11-17,1266,0
2020-11-18,1326,0
2020-11-19,1326,0
2020-11-20,1410,0
2020-11-21,1410,0
2020-11-22,1410,0
2020-11-23,1456,0
2020-11-24,1456,0
2020-11-25,1503,0
2020-11-26,1503,0
2020-11-27,1529,0
2020-11-28,1529,0
2020-11-29,1529,0
2020-11-30,1560,0
2020-12-1,1560,0
2020-12-2,1679,0
2020-12-3,1679,0
2020-12-4,1786,0
2020-12-5,1786,0
2020-12-6,1786,0
2020-12-7,1856,0
2020-12-8,1856,0
2020-12-9,1941,0
2020-12-10,1941,0
2020-12-11,2072,0
2020-12-12,2072,0
2020-12-13,2072,0
2020-12-14,2109,0
2020-12-15,2109,0
2020-12-16,2253,0
2020-12-17,2253,0
2020-12-18,2341,0
2020-12-19,2341,0
2020-12-20,2341,0
2020-12-21,2448,0
2020-12-22,2448,0
2020-12-23,2507,0
2020-12-24,2507,0
2020-12-25,2507,0
2020-12-26,2507,0
2020-12-27,2507,0
2020-12-28,2548,0
2020-12-29,2548,0
2020-12-30,2741,0
2020-12-31,2741,0
2021-1-1,2879,0
2021-1-2,2879,0
2021-1-3,2879,0
2021-1-4,2897,0
2021-1-5,2897,0
2021-1-6,3027,0
2021-1-7,3027,0
2021-1-8,3148,0
2021-1-9,3148,0
2021-1-10,3148,0
2021-1-11,3255,0
2021-1-12,3255,0
2021-1-13,3355,0
2021-1-14,3355,0
2021-1-15,3502,0
2021-1-16,3502,0
2021-1-17,3502,0
2021-1-18,3525,0
2021-1-19,3525,0
2021-1-20,3575,0
2021-1-21,3575,0
2021-1-22,3598,0
2021-1-23,3598,0
2021-1-24,3598,0
2021-1-25,3622,0
2021-1-26,3622,0
2021-1-27,3718,0
2021-1-28,3718,0
2021-1-29,3779,0
2021-1-30,3779,0
2021-1-31,3779,0
2021-2-1,3809,0
2021-2-2,3809,0
2021-2-3,3895,0
2021-2-4,3895,0
2021-2-5,4101,0
2021-2-6,4101,0
2021-2-7,4101,0
2021-2-8,4197,0
2021-2-9,4197,0
2021-2-10,4303,0
2021-2-11,4303,0
2021-2-12,4364,0
