Date,NMDATA.Death,NMDATA.DeathConfirmed
2020-12-14,1978,0
2020-12-15,2006,0
2020-12-16,2049,0
2020-12-17,2097,0
2020-12-18,2128,0
2020-12-19,2155,0
2020-12-20,2171,0
2020-12-21,2180,0
2020-12-22,2203,0
2020-12-23,2243,0
2020-12-24,2272,0
2020-12-25,2307,0
2020-12-26,2316,0
2020-12-27,2346,0
2020-12-28,2380,0
2020-12-29,2403,0
2020-12-30,2436,0
2020-12-31,2477,0
2021-1-1,2502,0
2021-1-2,2534,0
2021-1-3,2551,0
2021-1-4,2574,0
2021-1-5,2594,0
2021-1-6,2641,0
2021-1-7,2680,0
2021-1-8,2710,0
2021-1-9,2732,0
2021-1-10,2749,0
2021-1-11,2764,0
2021-1-12,2794,0
2021-1-13,2807,0
2021-1-14,2836,0
2021-1-15,2874,0
2021-1-16,2910,0
2021-1-17,2932,0
2021-1-18,2958,0
2021-1-19,2975,0
2021-1-20,3009,0
2021-1-21,3044,0
2021-1-22,3077,0
2021-1-23,3115,0
2021-1-24,3145,0
2021-1-25,3157,0
2021-1-26,3171,0
2021-1-27,3198,0
2021-1-28,3226,0
2021-1-29,3248,0
2021-1-30,3265,0
2021-1-31,3283,0
2021-2-1,3295,0
2021-2-2,3310,0
2021-2-3,3338,0
2021-2-4,3355,0
2021-2-5,3378,0
2021-2-6,3386,0
2021-2-7,3399,0
2021-2-8,3412,0
2021-2-9,3430,0
2021-2-10,3461,0
2021-2-11,3479,0
2021-2-12,3502,0
